tour_food,tour_food_theme,tour_food_tag,tour_food_score,like,zzim,review
봄날카페,제주시 > 애월,#음식 #콜드브루 #아메리카노 #바닐라라떼 #카페라떼 #아인슈페너 #카푸치노 #카페모카 #카라멜마끼아또 #아이스티 #헤이즐넛라떼 #콜드브루라떼 #차 #녹차 #레몬차 #자몽차 #밀크티 #복숭아아이스티 #핫초코 #아이스초코 #녹차라떼 #고구마라떼 #라떼 #에이드 #레몬에이드 #자몽에이드 #아이스크림 #초코아이스크림 #모히또 #케이크 #티라미수,5,53,704,144
서연의집(영화 건축학개론),서귀포시 > 남원,#음식 #디저트 #빵 #와플 #에스프레소 #카페모카 #한류 #k-movie #드라마영화촬영지 #에스프레소콘파냐 #에스프레소더블 #카푸치노 #카페라떼 #바닐라라떼 #카라멜라떼 #아포가토 #에이드 #자몽에이드 #차 #자몽차 #라떼 #말차라떼 #쉐이크 #밀크쉐이크 #꽃차 #허브티 #캐모마일 #페퍼민트 #케이크 #머핀,4,17,267,68
명진전복,제주시 > 구좌,#음식 #전복해물탕 #전복죽 #전복뚝배기 #전복버터구이 #전복물회 #전복돌솥밥 #전복구이 #전복회 #고등어구이,4,35,711,66
몽상드애월(몽상),제주시 > 애월,#디저트 #음식 #아메리카노 #에스프레소 #카페모카 #카라멜마끼아또 #밀크티 #에이드 #2022고메페스타 #카푸치노 #카페라떼 #바닐라라떼 #돌체라떼 #딸기라떼 #초코라떼 #자몽에이드 #라떼 #차 #홍차 #캐모마일 #레몬그라스 #루이보스 #페퍼민트 #허브티 #레몬생강차 #케이크 #치즈케이크,4,21,527,66
제주김만복(만복이네김밥집),제주시 > 제주시내,#음식 #해물라면 #라면 #김밥 #주먹밥 #불갈비김밥 #오징어라면 #오징어무침 #비빔면 #새우장 #전복장 #소고기무국,4,79,"1,281",60
리치망고,제주시 > 애월,#망고코코넛쿠키 #카페 #망고 #음식 #망고스무디 #망고에이드 #망고주스 #무장애관광 #반려동물 #반려동물동반입장 #혼저옵서개 #반려동물동반_식당카페,4,35,579,59
르 쉬느아 (Le Chinois),서귀포시 > 안덕,#불도장 #음식 #오리고기 #오리로스 #제주신화월드 #전복조림 #전복찜 #해삼조림 #전복볶음 #두부조림 #새우튀김 #탕수육 #수프류 #야채볶음 #갈비찜 #라조기 #양고기 #무장애관광,5,49,77,53
카페공작소,제주시 > 구좌,#제주음료 #음식 #아메리카노 #카페라떼 #감귤 #주스 #청귤차 #에스프레소 #케이크 #바닐라라떼 #차 #캐모마일 #레몬그라스 #허브티 #얼그레이 #라떼 #루이보스,5,10,215,51
濟州膳제주선,서귀포시 > 안덕,#갈치 #고소리술 #음식 #제주신화월드 #전복죽 #해산물샐러드 #해물파전 #간장게장 #갈비찜 #묵은지김치찜 #갈치구이 #갈치조림 #흑돼지김치찌개 #소고기된장찌개 #성게미역국 #옥돔구이 #양념갈비 #무장애관광,5,39,177,45
하하호호(HAHAHOHO),섬 속의 섬 > 우도,#음식 #햄버거 #아메리카노 #감자튀김 #에이드 #레몬에이드 #아이스크림 #갈릭불고기버거 #새우버거 #젤라또 #쉐이크 #블루베리레몬에이드 #아이스티 #복숭아아이스티 #레몬아이스티 #차 #꿀차 #카페라떼 #바닐라라떼,4,5,212,44
올래국수,제주시 > 제주시내,#음식 #국수,4,44,"1,001",42
우유부단,제주시 > 한림,#우유 #음식 #눈꽃우유빙수 #밀크티 #얼그레이 #녹차 #카페라떼 #쉐이크 #밀크쉐이크 #아메리카노 #홍차 #허브티 #캐모마일,5,14,263,38
델문도,제주시 > 조천,#음식 #아메리카노 #에스프레소 #카페라떼 #젤라또 #바닐라라떼 #카페모카 #콜드브루 #아인슈페너 #라떼 #딸기라떼 #초코라떼 #차 #밀크티 #허브티 #페퍼민트 #캐모마일 #얼그레이 #루이보스 #에이드 #패션후르츠에이드 #스무디 #딸기스무디 #술 #칵테일 #모히또 #2022_마을산책_봄 #Moment_봄,4,20,338,37
스카이 온 파이브 다이닝,서귀포시 > 안덕,#레스토랑 #음식 #뷔페 #제주신화월드 #양고기 #양갈비 #소고기 #회 #초밥 #무장애관광,5,27,45,35
우진해장국,제주시 > 제주시내,#녹두빈대떡 #음식 #몸국 #육개장 #빈대떡,5,21,387,33
테라로사,서귀포시 > 서귀포시내,#원두 #음식 #아메리카노 #카페라떼 #카푸치노 #핸드드립커피 #에스프레소 #디저트 #파나마게이샤 #에스프레소마키아또 #에스프레소더블 #에이드 #레몬에이드 #레몬차 #초코라떼 #라떼 #차 #허브티 #레몬그라스,5,12,205,31
마노르블랑,서귀포시 > 안덕,#애프터눈티 #음식 #아메리카노 #바닐라라떼 #카페라떼 #녹차라떼 #돌체라떼 #딸기라떼 #디저트 #빵 #에이드 #주스 #과일주스 #2022고메페스타 #반려동물 #반려동물동반입장 #반려동물동반_식당카페 #카라멜마끼아또 #카페모카 #초코라떼 #아이스티 #복숭아아이스티 #차 #오미자차 #허브티 #스무디 #블루베리스무디 #망고스무디 #딸기스무디 #오미자에이드,5,16,191,30
가시아방,서귀포시 > 성산,#음식 #국수 #멸치국수 #돔베고기 #물만두 #비빔고기국수,4,14,488,29
소금빵까페 키친오즈,제주시 > 한림,#애견동반 #핑크뮬리 #음식 #피자 #크림파스타 #빵 #디저트 #아메리카노 #반려동물동반입장 #반려동물 #반려동물동반_식당카페 #새우로제파스타 #베이글 #에스프레소 #카라멜라떼 #카페라떼 #카페모카 #초코라떼 #바닐라라떼 #라떼 #에이드 #차 #카모마일 #페퍼민트 #루이보스 #얼그레이 #감바스 #알리오올리오파스타 #마르게리따피자 #라자냐 #와인 #술,5,3,73,28
카페콜라,제주시 > 한림,#커피콕 #음식 #커피 #아메리카노 #카푸치노 #카페라떼 #카페모카 #에스프레소 #카라멜마끼아또 #초코라떼 #녹차라떼 #고구마라떼 #프라페 #에이드 #레몬에이드 #블루베리레몬에이드 #딸기스무디 #스무디 #망고스무디 #블루베리스무디 #주스 #토마토주스 #딸기주스 #키위주스 #팥빙수 #케이크 #티라미수 #허니브레드 #브라우니,5,0,126,28
돈사돈,제주시 > 제주시내,#오겹살 #흑돼지 #음식 #삼겹살 #흑돼지오겹살 #김치찌개,4,26,560,27
애월더선셋,제주시 > 애월,#음식 #토스트 #아메리카노 #에이드 #과일주스 #카페라떼 #카푸치노 #에스프레소콘파냐 #카라멜마끼아또 #바닐라라떼 #아인슈페너 #토피넛라떼 #라떼 #차 #밀크티 #말차라떼 #딸기라떼 #초코라떼 #생과일주스 #자몽에이드 #요거트스무디 #블루베리요거트스무디 #망고스무디 #스무디 #프라페 #오므라이스 #떡갈비 #반려동물 #반려동물동반입장 #혼저옵서개 #반려동물동반_식당카페,5,10,185,26
수우동,제주시 > 한림,#음식 #돈가스 #감자고로케 #김치우동 #2022고메페스타 #유부우동 #냉우동 #돈가스정식 #어묵우동 #모둠튀김 #고로케 #왕새우튀김우동 #새우튀김우동 #수제돈까스 #등심돈까스 #새우튀김,5,8,227,23
지미스천연아이스크림,섬 속의 섬 > 우도,#카페 #음식 #디저트 #우도 #땅콩 #크림라떼 #과일주스 #주스 #소프트아이스크림 #쿠키 #생과일주스 #아메리카노 #녹차 #카모마일 #유자차 #핫초코 #아이스초코,4,2,70,23
우도왕자이야기,섬 속의 섬 > 우도,#음식 #우도 #디저트 #소프트아이스크림,5,1,28,22
앤트러사이트,제주시 > 한림,#음식 #디저트 #빵 #쿠키 #과일주스 #핸드드립커피 #에스프레소 #카페라떼 #바닐라라떼 #샤케라또 #아포가토 #라떼 #차 #자몽차 #아이스크림 #에이드 #레몬에이드 #자몽에이드,4,10,142,21
누바비치,서귀포시 > 서귀포시내,#음식 #레몬에이드 #커피 #쿠키 #2022고메페스타 #반려동물 #반려동물동반입장 #반려동물동반_식당카페 #에이드 #모히또 #블루베리에이드 #자몽에이드 #아메리카노 #카페라떼 #바닐라라떼 #카페모카 #카라멜마끼아또 #딸기라떼 #말차라떼 #핫초코 #아이스초코 #아이스티 #복숭아아이스티 #차 #우롱차 #루이보스 #캐모마일 #녹차 #술 #진토닉칵테일 #깔루아밀크 #샴페인 #와인 #레드와인 #화이트와인 #하우스와인 #앱솔루트보드카 #위스키 #スパークリング,4,10,194,20
명랑스낵,제주시 > 한림,#생맥주 #짜장떡볶이 #음식 #튀김 #오징어튀김 #아이스크림,4,14,212,20
최고집,서귀포시 > 서귀포시내,#음식 #흑돼지 #라면 #2022고메페스타,5,15,142,20
월정리로와,제주시 > 구좌,#음식 #아메리카노 #토스트 #스무디 #딸기스무디 #에스프레소 #카페라떼 #카푸치노 #카페모카 #바닐라라떼 #헤이즐넛라떼 #카라멜마끼아또 #아포가토 #라떼 #차 #청귤차 #자몽차 #레몬차 #얼그레이 #아이스티 #복숭아아이스티 #레몬아이스티 #에이드 #자몽에이드 #말차라떼 #초코라떼 #고구마라떼 #치즈케이크 #티라미수 #아이스크림,4,1,16,18
풍림다방 송당점,제주시 > 구좌,#음식 #아메리카노 #에스프레소 #주스 #과일주스 #더치커피 #더치라떼 #콜드브루 #차 #유자차 #아이스티 #쌍화차 #아포가토 #아이스크림 #소프트아이스크림 #핸드드립커피 #드립커피,5,3,83,18
블랑로쉐,섬 속의 섬 > 우도,#음료 #음식 #아이스크림 #아메리카노 #우도 #잼 #치즈케이크 #카페라떼 #라떼 #에이드 #레몬에이드 #땅콩,5,4,64,17
순옥이네 명가,제주시 > 제주시내,#전복 #성게 #음식 #전복뚝배기 #해산물 #해산물모둠 #전복찜 #전복회 #뚝배기 #한치물회 #물회 #전복죽 #고등어구이 #소라 #돌멍게 #해삼 #옥돔구이 #전복장,4,18,391,17
카페마니,제주시 > 구좌,#음식 #에스프레소 #카페라떼 #차 #에이드 #과일주스 #2022고메페스타 #카라멜라떼 #바닐라라떼 #카페모카 #페퍼민트 #얼그레이 #국화차 #와인 #화이트와인 #레드와인 #술 #빵 #사과파이 #크로아상 #레몬에이드 #요거트스무디 #딸기요거트스무디 #블루베리요거트스무디 #망고스무디 #스무디 #밀크티라떼 #녹차라떼 #핫초코 #아이스티 #복숭아아이스티 #라떼,4,5,47,17
고래라면,서귀포시 > 성산,#음식 #해물라면 #문어라면 #만두 #새우만두 #칼국수 #해물바지락칼국수,5,8,212,16
섬소나이,섬 속의 섬 > 우도,#음식 #해물짬뽕 #크림파스타 #아이스크림 #2022고메페스타 #백짬뽕 #불짬뽕 #크림짬뽕,5,15,68,16
고집돌우럭(제주공항점),제주시 > 제주시내,#음식 #횔어우럭매운탕 #옥돔구이 #미역국 #왕새우튀김 #회무침 #돼지수육 #모둠회 #전채요리 #회,4,13,204,15
치치퐁,서귀포시 > 안덕,#음식 #디저트 #소프트아이스크림 #바닐라아이스크림 #초코아이스크림,4,6,98,15
로뎀가든,섬 속의 섬 > 우도,#음식 #한치 #주물럭 #해물파전 #전복죽,4,2,30,13
