tour_place,tour_place_theme,tour_place_tag,tour_place_score,like,zzim,review
성산일출봉(UNESCO 세계자연유산),서귀포시 > 성산,#부모 #자연경관 #포토스팟 #유네스코 #무장애관광 #공영관광지,5,364,"4,456",611
우도(해양도립공원),섬 속의 섬 > 우도,#맑음 #자연경관 #포토스팟 #어린이 #봄꽃 #유채꽃 #유네스코 #무장애관광 #공영관광지,5,230,"2,762",596
사려니숲길,제주시 > 조천,#커플 #흐림 #봄 #자연경관 #도보여행 #도보 #숲 #단풍 #공영관광지,5,250,"3,612",509
카멜리아힐,서귀포시 > 안덕,#맑음 #겨울 #힐링 #자연경관 #포토스팟 #어린이 #어트랙션 #동백 #수국 #무장애관광 #반려동물 #반려동물동반입장 #혼저옵서개 #반려동물동반_관광지,5,195,"3,617",487
협재해수욕장,제주시 > 한림,#아이 #맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저 #반려동물 #반려동물동반입장 #혼저옵서개 #반려동물동반_해변 #반려동물동반_자연 #반려동물동반_관광지,5,191,"3,147",462
함덕해수욕장,제주시 > 조천,#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저 #반려동물 #반려동물동반입장 #반려동물동반_해변 #반려동물동반_자연 #무장애관광 #반려동물동반_관광지 #2022_마을산책_봄 #Moment_봄,5,62,"1,817",444
월정리해변,제주시 > 구좌,#여름 #자연경관 #포토스팟 # 해수욕장,5,116,"2,754",443
산굼부리,제주시 > 조천,#맑음 #가을 #우수관광사업체 #자연경관 #억새 #무장애관광,5,56,"1,428",362
새별오름,제주시 > 애월,#걷기/등산 #아이 #봄 #자연경관 #도보여행 #도보 #어린이 #억새 #반려동물 #반려동물동반입장 #반려동물동반_오름 #반려동물동반_자연 #반려동물동반_관광지,5,68,"1,414",361
섭지코지,서귀포시 > 성산,#커플 #맑음 #가을 #자연경관 #포토스팟 #봄꽃 #유채꽃 #반려동물 #반려동물동반입장 #반려동물동반_관광지 #무장애관광 #공영관광지,5,131,"3,516",347
오설록티뮤지엄,서귀포시 > 안덕,#부모 #아이 #혼자 #맑음 #휴식/힐링 #녹차 #실내관광지 #어트랙션 #반려동물 #반려동물동반입장 #반려동물동반_관광지 #무장애관광,5,102,"2,843",321
한라산국립공원,제주시 > 제주시내,#친구 #사계절 #자연경관 #포토스팟 #한라산 #언택트 #단풍 #유네스코,5,104,"1,196",321
제주4.3평화공원,제주시 > 제주시내,#혼자 #친구 #아이 #맑음 #흐림 #미술/박물관 #실내 #실내관광지 #어트랙션 #봄꽃 #벚꽃 #무장애관광,5,56,339,271
에코랜드 테마파크,제주시 > 조천,#봄 #가을 #겨울 #실내관광지 #어린이 #어트랙션 #무장애관광 #우수관광사업체,5,70,"2,085",254
용눈이오름,제주시 > 구좌,#걷기/등산 #친구 #가을 #자연경관 #도보여행 #도보,5,27,808,241
비자림,제주시 > 구좌,#여름 #힐링 #자연경관 #어린이 #수국 #무장애관광,5,89,"2,396",219
천지연폭포,서귀포시 > 서귀포시내,#부모 #맑음 #여름 #자연경관 #포토스팟 #유네스코 #무장애관광 #공영관광지,5,93,"2,646",210
광치기해변,서귀포시 > 성산,#흐림 #봄 #자연경관 #포토스팟 #봄꽃 #유채꽃 #반려동물 #반려동물동반입장 #반려동물동반_해변 #반려동물동반_자연 #무장애관광 #반려동물동반_관광지,5,37,"1,179",192
김녕해수욕장,제주시 > 구좌,#맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저 #반려동물 #반려동물동반입장 #반려동물동반_오름 #반려동물동반_자연 #반려동물동반_관광지,5,23,"1,014",190
우도산호해변 홍조단괴 서빈백사,섬 속의 섬 > 우도,#커플 #맑음 #여름 #자연경관 #포토스팟,5,19,541,189
세화해변,제주시 > 구좌,#맑음 #여름 #자연경관,5,34,"1,301",188
아쿠아플라넷 제주,서귀포시 > 성산,#비.눈 #사계절 #우수관광사업체 #실내관광지 #어린이 #어트랙션 #어린이동물농장 #안전여행스탬프 #무장애관광,5,55,"1,920",171
송악산,서귀포시 > 대정,#해변 #걷기/등산 #친구 #커플 #맑음 #가을 #자연경관 #수국 #무장애관광 #공영관광지,5,26,714,166
쇠소깍,서귀포시 > 서귀포시내,#커플 #맑음 #여름 #자연경관 #체험 #레저/체험 #수상레저 #어트랙션 #물놀이,4,76,"2,387",146
금능해수욕장,제주시 > 한림,#아이 #맑음 #여름 #자연경관 #체험 #레저/체험 #해변 #물놀이 #어린이 #수상레저 #반려동물 #반려동물동반입장 #혼저옵서개 #반려동물동반_관광지,5,24,681,143
마라도(마라해양도립공원),서귀포시 > 대정,#아이 #맑음 #가을 #자연경관 #어린이 #공영관광지,5,23,545,139
애월해안도로,제주시 > 애월,#커플 #맑음 #여름 #자연경관,5,60,"1,786",137
용머리해안,서귀포시 > 안덕,#커플 #맑음 #봄 #자연경관 #유네스코 #무장애관광,5,37,"1,455",135
