Name,Address,Latitude,Longitude,Tel,Image_URL
봄날카페,제주특별자치도 제주시 애월읍 애월로1길 25,33.4625151,126.3094702,(+82) 064-799-4999,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5c7b4b02-c1ce-4cd5-9e1a-30735a48a47c.jpg"""
서연의집,제주특별자치도 서귀포시 남원읍 위미해안로 86,33.2694394,126.6556861,(+82) 064-764-7894,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/29/28ab6159-5c90-4a15-b066-09cbca092f90.jpg"""
명진전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1282,33.5290971,126.8463777,(+82) 064-782-9944,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2d06cbe9-2e5d-463e-bf8b-5b6d916b198c.gif"""
몽상드애월,제주특별자치도 제주시 애월읍 애월북서길 56-1,33.463316,126.3093754,(+82) 010-4419-3431,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/8c422dbc-b2fd-440e-8195-55da7f1e59e0.jpg"""
제주김만복,제주특별자치도 제주시 오라로 41,33.4970723,126.5087156,(+82) 064-759-8582,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/cb3f81a7-256a-4a3d-bfdf-47b28fbe0294.jpg"""
리치망고,제주특별자치도 제주시 애월읍 애월해안로 272,33.4685525,126.3401526,(+82) 070-4243-5959,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0723ccb3-2338-48a9-921f-0cf79296c5e5.jpg"""
르 쉬느아,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 G층,33.3071802,126.3174379,(+82) 064-908-1240,"""https://api.cdn.visitjeju.net/photomng/imgpath/201904/01/2901a392-fb77-4ab4-b12f-4d2c0f8dc746.jpg"""
카페공작소,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,33.5290971,126.8463777,(+82) 070-4548-0752,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a53885b4-3307-4827-b51a-fd7a52334dd4.jpg"""
濟州膳제주선,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,33.3071802,126.3174379,(+82) 064-908-1260,"""https://api.cdn.visitjeju.net/photomng/imgpath/201904/02/2f6bab8e-858f-40ab-ba7b-48f063be7c7e.jpg"""
하하호호,제주특별자치도 제주시 우도면 우도해안길 532,33.5208828,126.9486804,(+82) 010-2899-1365,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/07cb08dd-dcb2-45c2-b841-ec6b88bf387a.png"""
올래국수,제주특별자치도 제주시 귀아랑길 24 (연동),33.4915195,126.4972577,(+82) 064-742-7355,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/49c2e929-c5c8-4484-9e44-7b781c906020.jpg"""
우유부단,제주특별자치도 제주시 한림읍 금악동길 38,33.3476667,126.3282377,(+82) 064-796-2033,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/a7d9c29a-c0b3-480b-b0fa-a60111017244.jpg"""
델문도,제주특별자치도 제주시 조천읍 조함해안로 519-10,33.5437787,126.6688353,(+82) 064-702-0007,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/577b2f91-11d4-4860-a655-d8646c63fa6d.jpg"""
스카이 온 파이브 다이닝,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 메리어트관 제주신화월드 호텔앤리조트 5층,33.3071802,126.3174379,(+82) 064-908-1200,"""https://api.cdn.visitjeju.net/photomng/imgpath/201904/01/0116e524-8709-4914-90e0-d0c3b4e182e8.jpg"""
우진해장국,제주특별자치도 제주시 서사로 11,33.5056527,126.5211942,(+82) 064-757-3393,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ac02a05e-7aeb-4a01-97aa-237780b247d2.jpg"""
테라로사,제주특별자치도 서귀포시 칠십리로658번길 27-16,33.2494339,126.6188155,(+82) 1668-2764,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/7da66a19-4175-4e0a-b6ba-023ae14e7e00.jpg"""
마노르블랑,서귀포시 안덕면 일주서로2100번길 46,33.2542777,126.2945292,(+82) 0507-1339-1049,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/7dc38c4b-4aeb-4779-9091-b5d7821af0d5.jpg"""
가시아방,제주특별자치도 서귀포시 성산읍 섭지코지로 10,33.4386244,126.9180831,(+82) 064-783-0987,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/335e3d31-2e07-4046-8fd4-f0bff8ee8ec2.jpg"""
소금빵까페 키친오즈,제주시 한림읍 협재로 208,33.3801448,126.2510499,(+82) 064-796-7165,"""https://api.cdn.visitjeju.net/photomng/imgpath/201910/17/291ed1f7-5bfb-4334-8620-70798c64b87b.jpg"""
카페콜라,제주특별자치도 제주시 한림읍 일주서로 5857,33.4433286,126.2919658,(+82) 0507-1408-9969,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/c70df95c-4806-44ea-8efe-2a7719381fe4.jpg"""
돈사돈,제주특별자치도 제주시 우평로 19,33.4788279,126.4641046,(+82) 064-746-8989,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/07e75545-39f7-4178-a688-e7278f12ac7f.gif"""
애월더선셋,제주특별자치도 제주시 애월읍 일주서로 6111,33.4560301,126.308844,(+82) 064-799-7177,"""https://api.cdn.visitjeju.net/photomng/imgpath/202201/10/18b6e50e-f77f-49aa-9c1c-19fb19bbb3e3.jpg"""
수우동,제주특별자치도 제주시 한림읍 협재1길 11,33.396611,126.2424239,(+82) 064-796-5830,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/8187cf98-4b4f-4a3c-b1c1-2b1d1725a9d0.jpg"""
지미스천연아이스크림,제주특별자치도 제주시 우도면 우도해안길 1132,33.4978514,126.9676091,(+82) 010-2298-8633,"""https://api.cdn.visitjeju.net/photomng/imgpath/202301/31/71734371-671a-4442-ba3e-4e9b9762deeb.jpg"""
우도왕자이야기,제주특별자치도 제주시 우도면 우도해안길 252,33.5026621,126.9438489,(+82) 010-4049-3303,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/11a2dad5-3e44-4461-bed9-95db09e5c521.jpg"""
앤트러사이트,제주특별자치도 제주시 한림읍 한림로 564,33.4077796,126.2583173,(+82) 064-796-7991,"""https://api.cdn.visitjeju.net/photomng/imgpath/201811/06/6b252425-35b9-4082-8e27-e488d1af5877.jpg"""
누바비치,제주특별자치도 서귀포시 대포로 148-15,33.2373994,126.4367119,(+82) 064-738-2881,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ffbf0dcb-0105-4b5d-83eb-821db6f00853.jpg"""
명랑스낵,제주특별자치도 제주시 한림읍 한림로 585,33.4092436,126.2588265,(+82) 0507-1344-4548,"""https://api.cdn.visitjeju.net/photomng/imgpath/202203/11/69909642-fc6c-49af-bc37-6e236a710889.jpg"""
최고집,제주특별자치도 서귀포시 김정문화로 71,33.2508135,126.512243,(+82) 064-739-4777,"""https://api.cdn.visitjeju.net/photomng/imgpath/201910/16/9fab9c18-8eed-43ec-801c-d40099bcacdd.jpg"""
월정리로와,제주특별자치도 제주시 구좌읍 해맞이해안로 472,33.5290971,126.8463777,(+82) 064-783-2240,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4d897d7a-06cb-480d-883c-65ae9d862035.jpg"""
풍림다방 송당점,제주특별자치도 제주시 구좌읍 중산간동로 2267-4,33.4718344,126.7856128,(+82) 1811-5775,"""https://api.cdn.visitjeju.net/photomng/imgpath/202301/26/07d789de-91a5-4d79-9573-69270395db06.jpg"""
블랑로쉐,제주특별자치도 제주시 우도면 우도해안길 783,33.5169474,126.9579979,(+82) 064-782-9154,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/37eeff94-9340-4b01-a201-b98af210ed0b.jpg"""
순옥이네 명가,제주 제주시 도공로 8,33.5055751,126.464991,(+82) 064-743-4813,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/cecd919d-2192-47f7-b592-d0b47ddd9601.gif"""
카페마니,제주특별자치도 제주시 구좌읍 해맞이해안로 1112,33.5290971,126.8463777,(+82) 0507-1312-4835,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/5b39aaa7-3e84-486b-9366-0b00084d71e4.jpg"""
고래라면,제주특별자치도 서귀포시 성산읍 삼달로 104,33.3719482,126.8583387,(+82) 064-782-6685,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d0dc4f51-2740-46dd-ae51-355733a7294d.jpg"""
섬소나이,제주특별자치도 제주시 우도면 우도해안길 814,33.5132549,126.9575025,(+82) 064-784-2918,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/22/f098293e-2a13-4454-93a8-c7683843d769.jpg"""
고집돌우럭,제주특별자치도 제주시 임항로 30,33.5163089,126.528071,(+82)  0507-1436-1008,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f99e5ff2-422c-4b34-8889-38a51dfe7504.jpg"""
치치퐁,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-62,33.2352818,126.3133893,(+82) 010-9536-1322,"""https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/1d8ba573-40d1-45f0-876b-57ba6b196a3f.jpg"""
로뎀가든,제주특별자치도 제주시 우도면 우도해안길 264,33.5036054,126.9427511,(+82) 064-782-5501,"""https://api.cdn.visitjeju.net/photomng/imgpath/202110/22/e620de8e-1c65-4fa6-8636-0249f8deb86e.jpg"""
