Name,Address,Latitude,Longitude,Tel,Image_URL
스테이지게스트하우스,제주특별자치도 제주시 구좌읍 해맞이해안로 2361,33.5290971,126.8463777,(+82) 010-6701-2464,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/710b56bb-d705-4844-bcef-ffa05cfc9b82.jpg"""
스토리인제주게스트하우스,제주특별자치도 제주시 중앙로12길 5,33.5118299,126.5238883,(+82) 064-757-3796,"""https://api.cdn.visitjeju.net/photomng/imgpath/201912/13/c94db85e-941f-4eb9-8d80-eb9413167375.jpg"""
스토리하우스펜션,제주특별자치도 제주시 도리중길 37,33.5021255,126.4627364,(+82) 064-702-8231,""""""
스톤성민박,제주특별자치도 서귀포시 일주서로 866,33.2587767,126.4180946,(+82) 064-738-2607,"""https://api.cdn.visitjeju.net/photomng/imgpath/201912/04/d2fcb663-42c6-4277-a295-b5fe2ed9e80f.jpg"""
스프링데일골프앤리조트,제주특별자치도 서귀포시 남원읍 서성로 459,33.3188775,126.6742738,(+82) 064-800-8000,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/3e20b536-05b4-4fdb-b57c-1deace02b515.jpg"""
시땅,제주특별자치도 제주시 애월읍 고내북동길 47,33.4689053,126.3427128,(+82) 064-799-7978,"""https://api.cdn.visitjeju.net/photomng/imgpath/202211/10/84b56236-5718-4bfb-924d-52b34a76cb2a.jpg"""
시루네펜션,제주특별자치도 서귀포시 검은여로 79,33.250585,126.581051,(+82) 010-7163-2205,"""https://api.cdn.visitjeju.net/photomng/imgpath/202212/09/5d0ed436-3fef-4775-bc25-3bc3dacf9d53.jpg"""
시월애,제주특별자치도 서귀포시 대정읍 무릉사장로 154,33.2575316,126.191039,(+82) 0504-3090-3857,"""https://api.cdn.visitjeju.net/photomng/imgpath/202211/08/770c2f9c-6b7f-48fd-a3ee-fcdf0b315228.jpg"""
신강남모텔,제주특별자치도 제주시 서광로3길 2,33.5004392,126.5135544,(+82) 064-753-8770,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1e0dd95f-635d-4e59-bf2b-2fb10aa07cb9.jpg"""
신등대민박,제주특별자치도 제주시 추자면 추자로 12,33.9633135,126.2976367,(+82) 064-742-3868,"""https://api.cdn.visitjeju.net/photomng/imgpath/201908/21/927cf26f-1f7c-4d24-b729-a2aa982423ee.jpg"""
신신호텔 제주공항,"제주특별자치도 제주시 도령로 124 (연동, 신신호텔 제주공항) 신신호텔 제주공항",33.4922698,126.4906496,(+82) 064-797-5000,"""https://api.cdn.visitjeju.net/photomng/imgpath/202402/07/c55f7e6a-3e3e-481b-a644-b2cc1ff50f39.jpg"""
신신호텔 제주오션,제주특별자치도 서귀포시 중앙로 55 (서귀동) 신신호텔 제주오션,33.2459813,126.5623574,(+82) 064-730-5800,"""https://api.cdn.visitjeju.net/photomng/imgpath/202402/07/22812751-92e2-4078-946f-6e33321f4cc2.jpg"""
신신호텔 천지연,제주특별자치도 서귀포시 서문로 42-1 (서귀동) 신신호텔 천지연,33.2495146,126.5576159,(+82) 064-735-9000,"""https://api.cdn.visitjeju.net/photomng/imgpath/202402/07/1a8535f2-5cc9-47cd-b2c8-456598000d6c.jpg"""
신촌돌집,제주특별자치도 제주시 조천읍 신촌5길 30,33.536657,126.6208308,(+82) 010-8660-4772,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/73aff9b8-c4ad-429f-9429-70d7aaa5c8a9.jpg"""
신흥소시민,제주특별자치도 제주시 조천읍 신흥로1길 21,33.5473731,126.6506608,(+82) 010-3764-1318,"""https://api.cdn.visitjeju.net/photomng/imgpath/202211/09/d5677b19-b2db-424f-b58d-337dfede5c47.jpg"""
실크로드펜션,제주특별자치도 제주시 용해로 21-4,33.5147723,126.5032299,(+82) 064-712-2939,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/d9eb994e-ab12-447c-9872-20f09d7c465c.jpg"""
심스호텔,제주특별자치도 제주시 임항로 249,33.5178315,126.5395719,(+82) 064-750-8988,"""https://api.cdn.visitjeju.net/photomng/imgpath/202106/04/48364f14-d040-4a44-893a-9fe5b017cf71.jpg"""
썬라이즈호텔,제주특별자치도 서귀포시 중문관광로 310,33.2475605,126.4305389,(+82) 064-763-2299,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/85a88b65-6886-498c-aae8-c6dbdb25e2dd.gif"""
썬레이크빌제주,제주특별자치도 서귀포시 성산읍 한도로 49,33.467521,126.913397,(+82) 064-782-2277,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/7d70c062-e040-451e-a1d8-84ac13e0030d.gif"""
썬베이펜션,제주특별자치도 제주시 서흘길 14,33.5269659,126.5883026,(+82) 064-726-3132,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/36e33554-7f41-49ab-ad85-a0cc02df9c90.jpg"""
썬비치리조트,제주특별자치도 제주시 서해안로 114,33.5026549,126.4614316,(+82) 064-726-6668,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/bcde3fb7-fe9e-48ac-9d96-22d1563397f1.gif"""
썬비치민박,제주특별자치도 제주시 우도면 우도해안길 810,33.5134529,126.9573552,(+82) 064-738-5003,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/cad1960b-8acc-4462-bbf1-fafa8904736d.jpg"""
썬앤문리조트,제주특별자치도 서귀포시 안덕면 사계남로 102,33.2273951,126.3010481,(+82) 064-794-6633,"""https://api.cdn.visitjeju.net/photomng/imgpath/201809/04/97214c7e-f2c0-401a-b21d-3db77a02e1b8.jpg"""
쏠레 민박,제주특별자치도 서귀포시 성산읍 성산등용로 96-1,33.4701348,126.9300832,(+82) 064-784-1668,"""https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4ba2fad5-be64-4ee4-ab24-318e486dd075.jpg"""
