"id","Name","Address","Latitude","Longitude","Tel","Image_URL"
5936,성산일출봉,제주특별자치도 서귀포시 성산읍 일출로 284-12,33.4621008,126.9362017,(+82) 064-783-0959,https://api.cdn.visitjeju.net/photomng/imgpath/201810/17/083303e6-dc07-4e9e-a127-53ae7138f4eb.jpg
5937,우도,제주특별자치도 제주시 우도면 삼양고수물길 1,33.5194703,126.9510725,(+82) 064-728-1527,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5f387535-6fbc-4874-97fc-e9ec2b766688.jpg
5938,사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,33.4180631,126.6534847,(+82) 064-900-8800,https://api.cdn.visitjeju.net/photomng/imgpath/201908/19/77771f47-89ae-4bc7-9016-72d269a69cf8.jpg
5939,카멜리아힐,제주 서귀포시 안덕면 병악로 166,33.2897826,126.3698049,(+82) 064-800-6296,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/af74ca00-a8f4-4d5e-a7a0-e6416dfc8909.jpg
5940,협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,33.39356,126.239538,(+82) 064-728-3981,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/0613d86d-c9a7-4927-886b-36f720499acf.jpg
5941,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,33.5427261,126.6690893,(+82) 064-728-3989,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/38b28ab0-b188-48e2-9eef-724f06fd6b1f.jpg
5942,월정리해변,제주특별자치도 제주시 구좌읍 월정리 33-3,33.5551118,126.798641,(+82) 064-783-5798,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/a0920e38-aaa2-481e-91a2-86e1f5a37235.jpg
5943,산굼부리,제주특별자치도 제주시 조천읍 비자림로 768,33.4349973,126.6882639,(+82) 064-783-9900,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/df1ae123-1c90-4ef4-a502-4053c2e60dc2.jpg
5944,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,33.364338,126.3552026,(+82) 064-728-2753/064-728-2762,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/e57fa8a2-cd29-43d6-91ee-0670a681e157.jpg
5945,섭지코지,제주 서귀포시 성산읍 고성리,33.4384409,126.9082434,(+82) 064-740-6000,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/0ed3dbd8-9abe-4b36-bd1f-a35949c3335e.jpg
5946,오설록티뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15,33.30601,126.2901309,(+82) 064-794-5312,https://api.cdn.visitjeju.net/photomng/imgpath/202110/20/003f420c-6efe-41e9-93b7-00fe6ac5e83b.jpg
5947,한라산국립공원,제주특별자치도 제주시 1100로 2070-61,33.3917738,126.4945012,(+82) 064-713-9950,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/6a754887-ab09-410f-ad9d-9340571e4248.jpg
5948,제주4.3평화공원,제주특별자치도 제주시 명림로 430,33.4510818,126.6186384,(+82) 064-723-4344,https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/a37a1290-5052-4a57-a299-7eb73853860c.jpg
5949,에코랜드 테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,33.4617075,126.6703845,(+82) 064-802-8000,https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/73014985-5527-46e6-a4cc-b98bfe5b7685.jpg
5950,용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산28,33.4612401,126.8335548,(+82),https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/0367c089-1d0e-4783-9e48-c32095e262f8.jpg
5951,비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,33.4914321,126.8111377,(+82) 064-710-7911,https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/2befd802-631e-4fe0-ab3f-c5b9c0122047.jpg
5952,천지연폭포,제주특별자치도 서귀포시 남성중로 2-15,33.2447302,126.5597984,(+82) 064-733-1528,https://api.cdn.visitjeju.net/photomng/imgpath/202211/30/385e71d6-42be-40d8-b8a2-864ba646921e.jpg
5953,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,33.4370258,126.9224025,(+82) --,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5e8f5920-c04b-4287-a03c-cd1291ec62ea.jpg
5954,김녕해수욕장,제주특별자치도 제주시 구좌읍 구좌해안로 237,33.5571808,126.7365271,(+82) 064-728-3988,https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/389beed7-77d2-41fe-a471-c74e7ae22773.jpg
5955,우도산호해변 홍조단괴 서빈백사,제주특별자치도 제주시 우도면 우도해안길 252,33.5026621,126.9438489,(+82) 064-728-3394,https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/f6efd426-be90-49b1-8c37-456bd1d9fe44.jpg
5956,세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,33.5233947,126.8622722,(+82) 064-728-7783,https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/2cc02d4b-7c65-430b-af67-a13f241f973c.jpg
5957,아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 섭지코지로 95,33.4325283,126.9272108,(+82) 1833-7001,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/60e95664-1cdc-45b7-b935-3e5dd99abe64.jpg
5958,송악산,제주특별자치도 서귀포시 대정읍 송악관광로 421-1,33.2077419,126.2909048,(+82) 064-760-2917,https://api.cdn.visitjeju.net/photomng/imgpath/202301/03/b626834f-f06c-484d-ac5e-3c37c3f7dc82.jpg
5959,쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128,33.2522494,126.6230068,(+82) 064-732-1562,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/2364e136-7395-420e-b4af-173bfd78c58f.jpg
5960,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,33.3911311,126.2362647,(+82) 064-728-3983~4,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/f633561a-01c8-4e4a-a826-dd704e8bb5d9.jpg
5961,마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46,33.1186177,126.2670965,(+82) 064-760-4014,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/98541b5f-8a8d-4d2e-9bf8-e76050a321e6.jpg
5962,애월해안도로,제주특별자치도 제주시 애월읍 애월해안로,33.4765233,126.3600749,(+82) 064-728-3394,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/dae5f548-d5de-41e8-b47b-37490c5238ad.jpg
5963,용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,33.2334813,126.3146307,(+82) 064-760-6321,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/154850a1-2f4e-4ec2-b517-dc8930b03036.jpg
5964,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),33.4532904,126.3212801,(+82) 064-728-3985,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/daaa3e6e-822b-4acc-98df-8ba8e8453dd7.jpg
5965,한라산영실코스,제주특별자치도 서귀포시 영실로 246,33.3331525,126.4761717,(+82) 064-747-9950,https://api.cdn.visitjeju.net/photomng/imgpath/202110/26/5beb231b-79e1-4871-866a-6b542cf60046.jpg
