Tourist Destination,Sectors,Place ID,Link,Mart Tel,Address
헬로키티아일랜드,테마파크,33703960,https://m.place.naver.com/place/33703960?entry=ple,064-792-6114,제주 서귀포시 안덕면 한창로 340
동백포레스트,"식물원,수목원",1611903913,https://m.place.naver.com/place/1611903913?entry=ple,0507-1331-2102,제주 서귀포시 남원읍 생기악로 53-38
아쿠아플라넷 제주,아쿠아리움,19708047,https://m.place.naver.com/place/19708047?entry=ple,1833-7001,제주 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주
카멜리아힐,"식물원,수목원",11846866,https://m.place.naver.com/place/11846866?entry=ple,064-800-6296,제주 서귀포시 안덕면 병악로 166
쇠소깍,"강,하천",11707633,https://m.place.naver.com/place/11707633?entry=ple,#,제주 서귀포시 쇠소깍로 104
스누피가든,"관람,체험",1875149782,https://m.place.naver.com/place/1875149782?entry=ple,064-903-1111,제주 제주시 구좌읍 금백조로 930
빛의 벙커,"관람,체험",1279138610,https://m.place.naver.com/place/1279138610?entry=ple,1522-2653,제주 서귀포시 성산읍 서성일로1168번길 89-17 A동
새별오름,오름,17029023,https://m.place.naver.com/place/17029023?entry=ple,#,제주 제주시 애월읍 봉성리 산59-8
사계해안,"해수욕장,해변",17083214,https://m.place.naver.com/place/17083214?entry=ple,#,제주 서귀포시 안덕면 사계리
금오름,오름,17020866,https://m.place.naver.com/place/17020866?entry=ple,#,제주 제주시 한림읍 금악리 산1-1
제주동백수목원,"식물원,수목원",1311209554,https://m.place.naver.com/place/1311209554?entry=ple,064-764-4473,제주 서귀포시 남원읍 위미리 929-2
테디베어뮤지엄,테마파크,11607804,https://m.place.naver.com/place/11607804?entry=ple,064-738-7600,제주 서귀포시 중문관광로110번길 31
신창풍차해안도로,드라이브,17040007,https://m.place.naver.com/place/17040007?entry=ple,#,제주 제주시 한경면 신창리 1481-23
용머리해안,"해수욕장,해변",13491455,https://m.place.naver.com/place/13491455?entry=ple,064-760-6321,제주 서귀포시 안덕면 사계리 112-3
산방산 탄산온천,"온천,스파",13044022,https://m.place.naver.com/place/13044022?entry=ple,064-792-8300,제주 서귀포시 안덕면 사계북로41번길 192
9.81 파크 제주,테마파크,1666616962,https://m.place.naver.com/place/1666616962?entry=ple,1833-9810,제주 제주시 애월읍 천덕로 880-24
에코랜드 테마파크,테마파크,19584967,https://m.place.naver.com/place/19584967?entry=ple,064-802-8000,제주 제주시 조천읍 번영로 1278-169
금능해수욕장,"해수욕장,해변",13491073,https://m.place.naver.com/place/13491073?entry=ple,064-728-3983,제주 제주시 한림읍 금능리
